mm/dd, 2015:BON:spillpct (%), 2014:BON:spillpct (%), 2013:BON:spillpct (%), 2012:BON:spillpct (%), 2011:BON:spillpct (%), 2010:BON:spillpct (%)
3-Oct,1.595,1.21,1.084,0.618,0.612,1.569
4-Oct,1.359,1.507,1.059,0.576,0.614,1.729
5-Oct,1.204,1.505,1.237,0.735,0.506,1.176
6-Oct,1.09,1.034,1.271,0.75,0.472,1.035
7-Oct,1.032,1.097,0.955,0.794,0.617,1.218
8-Oct,0.925,1.08,0.726,0.757,0.508,1.198
9-Oct,0.677,1.059,1.12,0.548,0.548,1.037
10-Oct,0.723,1.19,1.181,0.609,0.446,1.153
11-Oct,0.733,1.437,1.026,0.659,0.456,1.239
12-Oct,0.788,1.355,0.984,0.749,0.515,1.069
13-Oct,0.824,1.159,0.999,0.823,0.472,1.198
14-Oct,0.556,1.164,0.899,0.821,0.403,1.006
15-Oct,0.455,1.296,1.011,0.743,0.396,1.157
16-Oct,0.554,1.116,0.958,0.742,0.412,1.115
17-Oct,0.617,1.057,4.329,0.707,0.435,1.249
18-Oct,0.737,1.189,0.779,0.642,0.248,1.093
19-Oct,0.651,1.369,1.769,0.769,0.546,1.155
20-Oct,0.669,1.259,1.09,0.62,0.492,1.109
21-Oct,0.589,1.083,0.97,0.632,0.46,1.375
22-Oct,0.592,1.153,0.911,0.527,0.447,1.426
23-Oct,0.541,1.039,0.957,0.516,0.555,1.475
24-Oct,0.461,1.033,0.992,0.527,0.514,1.556
25-Oct,0.557,1.391,1.024,0.655,0.39,1.495
26-Oct,0.518,1.323,1.053,0.806,0.366,1.179
27-Oct,0.558,1.149,1.163,0.925,0.467,1.238
28-Oct,0.456,1.034,1.116,1.027,0.437,1.186
29-Oct,0.546,0.984,0.936,0.816,0.397,1.087
30-Oct,0.595,0.8,1.012,0.794,0.497,1.017
31-Oct,0.505,0.809,1.055,0.821,0.494,1.158
1-Nov,0.457,0.889,1.159,0.885,0.345,6.173
2-Nov,0.536,0.805,1.13,0.861,6.016,0.929
3-Nov,0.457,0.936,1.005,0.936,6.677,0.884
4-Nov,0.42,0.958,0.827,0.843,4.517,0.902
5-Nov,0.451,0.98,0.822,0.889,10.219,0.979
6-Nov,0.429,0.997,0.763,0.886,13.834,0.944
7-Nov,0.387,0.941,0.85,0.884,13.672,0.889
8-Nov,0.4,0.455,0.883,0.876,19.357,0.974
